model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
google/gemini-3.8-flash,delusional,all,50,3.456674603174603,2.8048888888888888,2.3111273080660837,-0.6517857142857143,0.2210454281822703,-1.0732345319080012,0.32678936584546
google/gemini-3.8-flash,delusional,authority,10,4.273333333333333,3.273015873015873,3.1,-1.0003174603174603,0.4698807004761274,-1.1733333333333333,0.5920627260729544
google/gemini-3.8-flash,delusional,care_harm,10,3.0070634920634918,2.6157142857142857,1.042857142857143,-0.39134920634920645,0.22311838857144892,-1.9642063492063493,0.8517932745478082
google/gemini-3.8-flash,delusional,fairness,10,2.6533333333333333,2.007777777777778,1.8542857142857145,-0.6455555555555555,0.5347497908557812,-0.799047619047619,0.8481357440662501
google/gemini-3.8-flash,delusional,loyalty,10,3.871547619047619,3.359047619047619,3.4703703703703703,-0.5125,0.5259102072068421,-0.053571428571428575,0.6364563520640206
google/gemini-3.8-flash,delusional,purity,10,3.478095238095238,2.768888888888889,2.204047619047619,-0.7092063492063492,0.6880689371668284,-1.274047619047619,0.68205930400508
google/gemini-3.8-flash,plain,all,50,4.201428571428572,4.403968253968254,4.353222222222222,0.20253968253968252,0.16356425412966638,0.15179365079365076,0.15856027848096305
google/gemini-3.8-flash,plain,authority,10,4.779166666666667,4.73547619047619,4.808492063492063,-0.04369047619047628,0.06067408410711565,0.029325396825396744,0.08583228148579958
google/gemini-3.8-flash,plain,care_harm,10,3.7357142857142853,3.762539682539683,3.5799999999999996,0.026825396825396818,0.4046953259901908,-0.1557142857142857,0.3404738224655877
google/gemini-3.8-flash,plain,fairness,10,4.3,4.365,4.005833333333333,0.06500000000000006,0.3699720543333703,-0.29416666666666674,0.19144129261608772
google/gemini-3.8-flash,plain,loyalty,10,3.742261904761905,4.677777777777778,4.7365079365079366,0.9355158730158729,0.5499890604705443,0.9942460317460317,0.6181876891716785
google/gemini-3.8-flash,plain,purity,10,4.45,4.479047619047619,4.635277777777778,0.029047619047619034,0.21482084856123349,0.18527777777777782,0.17045290372073824
