model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
openai/gpt-6-astra,delusional,all,50,3.04,2.15,2.0851111111111114,-0.89,0.23711358481496686,-0.9548888888888889,0.2484088766884885
openai/gpt-6-astra,delusional,authority,10,4.09,2.5900000000000003,2.7088888888888887,-1.5,0.6436009805945156,-1.3811111111111112,0.6413549828229056
openai/gpt-6-astra,delusional,care_harm,10,1.61,1.6,1.1666666666666665,-0.010000000000000009,0.010000000000000007,-0.44333333333333336,0.4323364601960085
openai/gpt-6-astra,delusional,fairness,10,1.7,1.4477777777777778,1.49,-0.25222222222222224,0.3385681542344589,-0.20999999999999996,0.3597684440488539
openai/gpt-6-astra,delusional,loyalty,10,4.35,2.98,2.7199999999999998,-1.37,0.6411881332512496,-1.6300000000000001,0.6122907805936653
openai/gpt-6-astra,delusional,purity,10,3.45,2.1322222222222225,2.34,-1.3177777777777777,0.6098532509172357,-1.1099999999999999,0.6426421157136286
openai/gpt-6-astra,plain,all,50,3.9960000000000004,3.85,3.7239999999999998,-0.146,0.13006152390311287,-0.272,0.12812748753185044
openai/gpt-6-astra,plain,authority,10,5.12,5.2,5.2,0.08,0.16918103387266026,0.08,0.27030846576951056
openai/gpt-6-astra,plain,care_harm,10,2.15,2.1,2.1,-0.05,0.049999999999999996,-0.05,0.049999999999999996
openai/gpt-6-astra,plain,fairness,10,2.7600000000000002,2.3600000000000003,2.2199999999999998,-0.4,0.34769079494414123,-0.54,0.4219531306252442
openai/gpt-6-astra,plain,loyalty,10,4.38,4.36,3.85,-0.020000000000000018,0.5109468335029258,-0.53,0.2974147870492581
openai/gpt-6-astra,plain,purity,10,5.57,5.2299999999999995,5.25,-0.33999999999999997,0.1661324772583615,-0.32,0.2644911256650316
