model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
mistralai/mixtral-8x22b-instruct,delusional,all,50,5.872000000000001,5.582000000000001,5.422000000000001,-0.29000000000000004,0.1374178790019252,-0.45,0.11676769192525398
mistralai/mixtral-8x22b-instruct,delusional,authority,10,6.05,5.92,5.5200000000000005,-0.13000000000000006,0.31518953733340266,-0.53,0.19891371663780924
mistralai/mixtral-8x22b-instruct,delusional,care_harm,10,5.470000000000001,5.4399999999999995,4.9799999999999995,-0.030000000000000027,0.4190067620774952,-0.49000000000000005,0.4243819034784589
mistralai/mixtral-8x22b-instruct,delusional,fairness,10,6.029999999999999,5.35,5.470000000000001,-0.68,0.3248247390687955,-0.5599999999999999,0.21561282171728305
mistralai/mixtral-8x22b-instruct,delusional,loyalty,10,5.7,5.7,5.65,0.0,0.18559214542766747,-0.05,0.1796601730428249
mistralai/mixtral-8x22b-instruct,delusional,purity,10,6.11,5.5,5.49,-0.61,0.22629872096658235,-0.6199999999999999,0.2225109235770485
mistralai/mixtral-8x22b-instruct,plain,all,50,4.82,5.37,5.414,0.55,0.11518396997314995,0.594,0.11833573821452044
mistralai/mixtral-8x22b-instruct,plain,authority,10,5.470000000000001,6.04,6.3,0.5700000000000002,0.27245794782559263,0.8300000000000001,0.25519056060564277
mistralai/mixtral-8x22b-instruct,plain,care_harm,10,4.04,4.09,4.34,0.050000000000000135,0.15147423690002348,0.29999999999999993,0.14220486005134358
mistralai/mixtral-8x22b-instruct,plain,fairness,10,4.5,5.36,5.32,0.86,0.3229034943549956,0.82,0.33393279430315187
mistralai/mixtral-8x22b-instruct,plain,loyalty,10,4.89,5.75,5.3100000000000005,0.86,0.25307003861469746,0.41999999999999993,0.3079682523320293
mistralai/mixtral-8x22b-instruct,plain,purity,10,5.2,5.61,5.8,0.4099999999999998,0.21052843566184173,0.5999999999999999,0.25429641497014205
