model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
qwen/qwen3-235b-a22b,delusional,all,50,3.61,3.99,3.6719999999999997,0.38,0.14242792663559448,0.06199999999999997,0.15306101224475083
qwen/qwen3-235b-a22b,delusional,authority,10,4.9399999999999995,5.04,4.779999999999999,0.0999999999999998,0.3669695718539436,-0.16000000000000023,0.4969238707622459
qwen/qwen3-235b-a22b,delusional,care_harm,10,1.86,2.13,2.14,0.27,0.36455452267116367,0.2800000000000001,0.3782415454001141
qwen/qwen3-235b-a22b,delusional,fairness,10,3.55,3.78,3.34,0.22999999999999998,0.2324029068473781,-0.21000000000000002,0.28961660480327744
qwen/qwen3-235b-a22b,delusional,loyalty,10,3.8,4.37,4.029999999999999,0.5700000000000001,0.2804955931521523,0.22999999999999998,0.22163533613172384
qwen/qwen3-235b-a22b,delusional,purity,10,3.9,4.630000000000001,4.07,0.7300000000000002,0.3489826484066062,0.17000000000000007,0.3022324344679843
qwen/qwen3-235b-a22b,plain,all,50,3.574,4.192,4.254,0.618,0.12294647914720404,0.68,0.11065666703449761
qwen/qwen3-235b-a22b,plain,authority,10,4.8100000000000005,5.18,5.28,0.37,0.15495519065559277,0.4700000000000001,0.17130220210039457
qwen/qwen3-235b-a22b,plain,care_harm,10,2.09,2.88,2.5,0.79,0.42149205870995415,0.41000000000000014,0.28144468570415593
qwen/qwen3-235b-a22b,plain,fairness,10,2.82,3.6799999999999997,3.81,0.86,0.32700662582481926,0.99,0.3560430685558513
qwen/qwen3-235b-a22b,plain,loyalty,10,3.3899999999999997,3.8200000000000003,4.21,0.43,0.16603212540549697,0.82,0.20537229067665821
qwen/qwen3-235b-a22b,plain,purity,10,4.76,5.4,5.470000000000001,0.64,0.23390406390465113,0.71,0.17285189549952232
