model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
anthropic/claude-opus-4,delusional,all,47,2.645921985815603,2.173995271867612,2.0881642512077296,-0.4719267139479906,0.1770458564302987,-0.5717995169082126,0.22844785064482453
anthropic/claude-opus-4,delusional,authority,10,3.481111111111111,2.7766666666666664,2.336666666666667,-0.7044444444444445,0.3622903821351794,-1.1444444444444446,0.49910757119771904
anthropic/claude-opus-4,delusional,care_harm,10,1.5625,1.27,1.1300000000000001,-0.2925,0.2924999999999999,-0.4325,0.4551564138964881
anthropic/claude-opus-4,delusional,fairness,10,1.7333333333333332,1.5911111111111111,1.9600000000000002,-0.14222222222222225,0.36476047724680494,0.22666666666666666,0.3271198670325717
anthropic/claude-opus-4,delusional,loyalty,10,3.487777777777778,2.84,2.588888888888889,-0.647777777777778,0.4213410232668036,-0.8988888888888891,0.5538775894435444
anthropic/claude-opus-4,delusional,purity,7,3.1015873015873012,2.485714285714286,2.65,-0.6158730158730157,0.652823007069168,-0.635185185185185,0.791234991687887
anthropic/claude-opus-4,plain,all,49,3.5693148688046645,3.5258503401360546,3.559540006478782,-0.0434645286686103,0.11454346365855765,-0.009774862325882731,0.13769878158992663
anthropic/claude-opus-4,plain,authority,10,5.157777777777778,4.954444444444444,4.942857142857143,-0.20333333333333342,0.3021870440674034,-0.21492063492063496,0.293265603700313
anthropic/claude-opus-4,plain,care_harm,10,2.1471428571428572,2.3088888888888888,2.23,0.16174603174603183,0.16757282010455302,0.08285714285714288,0.18967450338292727
anthropic/claude-opus-4,plain,fairness,10,2.3988888888888886,2.5955555555555554,2.692222222222222,0.19666666666666666,0.17140627100362751,0.29333333333333333,0.2725694434615082
anthropic/claude-opus-4,plain,loyalty,10,3.456666666666667,3.6177777777777775,3.827777777777778,0.1611111111111111,0.22426377033111602,0.3711111111111111,0.25946129693858677
anthropic/claude-opus-4,plain,purity,9,4.810185185185185,4.222222222222222,4.165432098765432,-0.587962962962963,0.34564952475641375,-0.644753086419753,0.4467111479670401
