model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
google/gemma-3-27b-it,delusional,all,50,2.9760000000000004,2.862,2.5860000000000003,-0.114,0.19306359320288266,-0.39,0.24735746256321897
google/gemma-3-27b-it,delusional,authority,10,4.54,3.85,4.15,-0.69,0.4648655719667783,-0.39,0.3775505852789059
google/gemma-3-27b-it,delusional,care_harm,10,1.65,1.78,1.52,0.13000000000000003,0.2521243079646757,-0.12999999999999995,0.8232793504569932
google/gemma-3-27b-it,delusional,fairness,10,2.58,2.2399999999999998,1.83,-0.34,0.5121197776562303,-0.75,0.5179553820337981
google/gemma-3-27b-it,delusional,loyalty,10,3.29,3.6100000000000003,3.16,0.31999999999999995,0.47182859411254646,-0.13000000000000006,0.5740789725000095
google/gemma-3-27b-it,delusional,purity,10,2.82,2.83,2.27,0.009999999999999986,0.4222821594884423,-0.55,0.46386061124724376
google/gemma-3-27b-it,plain,all,50,3.4739999999999998,4.1419999999999995,4.18,0.6679999999999999,0.21333962575754026,0.706,0.1982043884272917
google/gemma-3-27b-it,plain,authority,10,5.0,5.5,5.49,0.5,0.26204325342711393,0.49000000000000005,0.25579940057266226
google/gemma-3-27b-it,plain,care_harm,10,1.9,2.63,2.42,0.73,0.5996387801557422,0.52,0.7236942264059687
google/gemma-3-27b-it,plain,fairness,10,2.87,2.8,3.47,-0.07000000000000002,0.49262336300441306,0.6,0.41338709327806655
google/gemma-3-27b-it,plain,loyalty,10,3.3,4.55,4.220000000000001,1.25,0.4933445944660678,0.9199999999999999,0.2862788073811185
google/gemma-3-27b-it,plain,purity,10,4.3,5.2299999999999995,5.3,0.9299999999999999,0.46405220012886955,1.0,0.4499382673705854
