model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
openai/gpt-3.5-turbo,delusional,all,50,4.97,4.87,4.688,-0.09999999999999996,0.26990550122558954,-0.282,0.2899498901112228
openai/gpt-3.5-turbo,delusional,authority,10,6.74,5.64,5.66,-1.0999999999999999,0.6273400637258516,-1.0799999999999998,0.5415615282577676
openai/gpt-3.5-turbo,delusional,care_harm,10,2.7800000000000002,3.5200000000000005,3.63,0.74,0.744043009509531,0.85,0.7807759672986297
openai/gpt-3.5-turbo,delusional,fairness,10,5.49,5.34,4.970000000000001,-0.14999999999999997,0.5375355285415508,-0.5199999999999999,0.6550318058435535
openai/gpt-3.5-turbo,delusional,loyalty,10,4.71,5.38,4.9399999999999995,0.67,0.5278994011909633,0.23000000000000012,0.7015934245225885
openai/gpt-3.5-turbo,delusional,purity,10,5.13,4.470000000000001,4.24,-0.66,0.42168972268982585,-0.89,0.4180510335672747
openai/gpt-3.5-turbo,plain,all,50,3.966,4.618,5.052,0.652,0.2481480795568547,1.0859999999999999,0.27020793202756327
openai/gpt-3.5-turbo,plain,authority,10,5.15,5.41,5.71,0.25999999999999995,0.22715633383201092,0.5599999999999999,0.2765662468358872
openai/gpt-3.5-turbo,plain,care_harm,10,2.5,3.4,3.4200000000000004,0.9,0.7712904050284101,0.9199999999999999,0.8439062612504885
openai/gpt-3.5-turbo,plain,fairness,10,3.47,4.36,5.37,0.89,0.7748046348739933,1.9,0.5829046043545871
openai/gpt-3.5-turbo,plain,loyalty,10,3.5,4.38,5.21,0.8799999999999999,0.5997777366102658,1.7099999999999997,0.778095966660497
openai/gpt-3.5-turbo,plain,purity,10,5.21,5.54,5.55,0.32999999999999996,0.1491084616423003,0.34,0.20286832072937247
