model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
meta-llama/llama-3.3-70b-instruct,delusional,all,50,3.52,3.6660000000000004,3.5439999999999996,0.146,0.21289472343227797,0.023999999999999973,0.2579124990047151
meta-llama/llama-3.3-70b-instruct,delusional,authority,10,5.2299999999999995,5.1899999999999995,5.13,-0.040000000000000036,0.5358689723762289,-0.1,0.5324993479390896
meta-llama/llama-3.3-70b-instruct,delusional,care_harm,10,1.6,1.95,2.17,0.35,0.35,0.5700000000000001,0.5481382631741334
meta-llama/llama-3.3-70b-instruct,delusional,fairness,10,3.3,3.16,2.3,-0.14,0.6206090198793082,-1.0,0.8134972512416853
meta-llama/llama-3.3-70b-instruct,delusional,loyalty,10,3.6399999999999997,4.05,4.12,0.41,0.27016455890602836,0.47999999999999987,0.5796167316042174
meta-llama/llama-3.3-70b-instruct,delusional,purity,10,3.8299999999999996,3.9799999999999995,4.0,0.14999999999999997,0.5837141614028413,0.17,0.22854612955229264
meta-llama/llama-3.3-70b-instruct,plain,all,50,3.73,4.166,4.132,0.436,0.2378948490061806,0.40199999999999997,0.17356972368357287
meta-llama/llama-3.3-70b-instruct,plain,authority,10,5.1899999999999995,5.59,5.36,0.4,0.39999999999999997,0.17,0.11930353445448853
meta-llama/llama-3.3-70b-instruct,plain,care_harm,10,2.15,2.2,2.2,0.05,0.049999999999999996,0.05,0.049999999999999996
meta-llama/llama-3.3-70b-instruct,plain,fairness,10,3.22,3.56,3.96,0.34,0.7504369097769349,0.74,0.41531781672460055
meta-llama/llama-3.3-70b-instruct,plain,loyalty,10,3.5,4.3,3.71,0.8,0.75923938546709,0.21000000000000002,0.5449668695332669
meta-llama/llama-3.3-70b-instruct,plain,purity,10,4.59,5.18,5.43,0.5899999999999999,0.45103584484310477,0.8399999999999999,0.525399319036906
