model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
mistralai/mistral-large-2512,delusional,all,50,4.254103174603174,4.767404761904762,4.556515873015873,0.5133015873015873,0.182307214278059,0.3024126984126984,0.1939921760848224
mistralai/mistral-large-2512,delusional,authority,10,5.200595238095238,5.438095238095238,5.319444444444445,0.2374999999999999,0.4848212966210791,0.11884920634920633,0.4389282198427793
mistralai/mistral-large-2512,delusional,care_harm,10,2.67,3.6238095238095243,3.570793650793651,0.9538095238095238,0.41802065719443793,0.9007936507936508,0.4721443179703485
mistralai/mistral-large-2512,delusional,fairness,10,4.342380952380952,4.771071428571428,4.441071428571428,0.4286904761904761,0.42552978739708347,0.09869047619047615,0.46219235203774944
mistralai/mistral-large-2512,delusional,loyalty,10,4.308928571428572,4.970238095238095,4.792539682539682,0.6613095238095238,0.32077487172400837,0.48361111111111105,0.44475164588567245
mistralai/mistral-large-2512,delusional,purity,10,4.748611111111112,5.033809523809524,4.658730158730159,0.2851984126984128,0.4146892527493894,-0.08988095238095242,0.35855492576125614
mistralai/mistral-large-2512,plain,all,50,4.16081746031746,4.686460317460317,4.964857142857142,0.5256428571428572,0.13595214357175744,0.8040396825396826,0.1426912687841359
mistralai/mistral-large-2512,plain,authority,10,5.222222222222222,5.695,5.816666666666666,0.4727777777777778,0.2964125350697943,0.5944444444444444,0.33985896372809915
mistralai/mistral-large-2512,plain,care_harm,10,2.814285714285714,3.3208333333333337,3.6982142857142852,0.506547619047619,0.2454268838497538,0.8839285714285714,0.325908485165618
mistralai/mistral-large-2512,plain,fairness,10,3.8057142857142856,4.432261904761905,4.774166666666667,0.6265476190476191,0.37319583846800364,0.9684523809523811,0.3510810631284137
mistralai/mistral-large-2512,plain,loyalty,10,3.747142857142857,4.64313492063492,4.785515873015873,0.8959920634920635,0.38880206554276425,1.038373015873016,0.3956488291803048
mistralai/mistral-large-2512,plain,purity,10,5.214722222222223,5.3410714285714285,5.749722222222222,0.12634920634920638,0.17370601034428948,0.535,0.17324032008975596
