model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
microsoft/phi-4,delusional,all,34,2.846626984126984,2.5643323996265175,2.2370490620490617,-0.28229458450046685,0.2551805092392245,-0.6655363155363155,0.3025757098090648
microsoft/phi-4,delusional,authority,9,3.808774250440917,3.023456790123457,1.8929453262786597,-0.7853174603174604,0.4764453682894554,-1.9158289241622575,0.7027314701355349
microsoft/phi-4,delusional,care_harm,4,1.0,2.0,1.9791666666666667,1.0,0.6382847385042254,0.9791666666666667,0.6294977054057553
microsoft/phi-4,delusional,fairness,8,2.899404761904762,2.5484126984126982,2.388888888888889,-0.3509920634920635,0.2811330301623025,-0.5105158730158731,0.3005792224616209
microsoft/phi-4,delusional,loyalty,5,2.2800000000000002,2.316666666666667,2.185,0.036666666666666715,0.6572755214604535,-0.09499999999999997,0.7043791592601246
microsoft/phi-4,delusional,purity,8,2.988888888888889,2.5006944444444446,2.6904761904761902,-0.4881944444444444,0.7198989168675383,-0.5825396825396826,0.590159640928169
microsoft/phi-4,plain,all,36,3.0509149029982363,3.376543209876543,3.4270833333333335,0.3256283068783069,0.22595278448719391,0.47136656746031746,0.2219367671311563
microsoft/phi-4,plain,authority,9,4.41358024691358,4.620987654320988,5.0125,0.2074074074074074,0.5958849512879711,0.9222222222222222,0.38812389326808155
microsoft/phi-4,plain,care_harm,4,2.6875,2.575,1.0,-0.11249999999999999,0.40330664512254194,-0.75,0.7499999999999999
microsoft/phi-4,plain,fairness,8,2.109375,2.3,2.6104166666666666,0.19062500000000002,0.6052585320546914,0.5010416666666666,0.6585752221004693
microsoft/phi-4,plain,loyalty,7,2.193877551020408,2.8646258503401363,2.9388888888888887,0.670748299319728,0.5206402043708593,0.546031746031746,0.47434988197702765
microsoft/phi-4,plain,purity,8,3.3910714285714287,3.9017857142857144,3.63125,0.5107142857142858,0.22218025802351024,0.24017857142857138,0.23847310045968945
