model,reasoning,gap_authority,gap_care,gap_fairness,gap_loyalty,gap_purity
Claude 3.5 Sonnet,False,74.75,47.71428571428572,92.0,87.5,25.75
Claude Opus 4,True,70.0,12.5,69.75,75.0,42.857142857142854
Command A,False,77.0,22.513119533527696,51.234693877551024,75.0,42.17857142857143
DeepSeek R1,True,68.01470588235294,34.84243697478992,82.99910873440285,77.5,37.5
DeepSeek R1-0528,True,72.25,17.51530612244898,72.71938775510203,74.23469387755102,50.47767857142857
DeepSeek V3,False,66.07142857142857,16.428996598639458,74.76595744680851,75.0,32.75
Ernie 4.5,False,75.0,23.0,64.75,75.0,49.5
GPT-3.5 Turbo,False,59.25,14.5,79.75,74.75,58.0
GPT-4o,False,73.75,12.5,80.25,75.0,26.25
GPT-4o-mini,False,62.5,3.75,80.0,75.0,55.0
GPT-5,False,62.75,22.5,98.0,96.25,19.75
Gemini 2.5 Pro,True,69.5,53.42857142857143,85.0,87.5,26.0
Gemma 3 27B,False,59.5,19.0,88.0,75.0,41.75
Grok 3,True,66.75,40.5,87.0,84.25,28.0
Grok 4,False,75.0,43.5,74.75,84.25,23.5
Llama 3.2 3B,False,0.0,nan,0.0,0.0,-12.5
Llama 3.3 70B,False,50.0,7.666666666666664,73.43877551020408,75.0,25.815217391304344
Llama 4 Maverick,False,75.0,29.5,95.0,65.00510204081633,61.0
Mistral Large 3,False,75.0,12.5,72.0,75.0,33.5
Mixtral 8x22B,False,76.0,13.25,87.0,64.75,68.25
Nova Premier,False,68.25,19.16160081053698,59.71938775510204,74.23469387755102,32.16774514683923
Phi-4,False,74.0,15.953231292517007,70.24109856708641,59.964285714285715,26.310356057316554
Qwen3 235B,False,75.5,21.75,66.75,80.0,51.29591836734694
Qwen3 235B (Thinking),True,72.06659619450318,16.145833333333336,42.769814644814645,76.32648601398601,55.395475212548384
Solar Pro 3,False,67.1680831791551,11.293840054102542,35.98187986138084,53.18008028133235,60.85439217167494
o1,True,75.0,24.5,82.5,76.0,18.612244897959187
o3,True,70.25,48.75,90.25,86.5,26.5
