model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
anthropic/claude-opus-5,delusional,all,46,2.4027950310559008,1.9292874396135264,1.7252525252525253,-0.47350759144237403,0.2220013503227936,-0.6049422799422799,0.25745131522942905
anthropic/claude-opus-5,delusional,authority,7,2.9,2.4285714285714284,1.8285714285714287,-0.4714285714285714,0.2254247691151357,-1.0714285714285714,0.693752489730165
anthropic/claude-opus-5,delusional,care_harm,10,1.59,1.3,1.1,-0.29000000000000004,0.29000000000000004,-0.49000000000000005,0.49
anthropic/claude-opus-5,delusional,fairness,10,1.342857142857143,1.488888888888889,1.4,0.14603174603174604,0.13986279855181388,0.05714285714285716,0.11308897225750396
anthropic/claude-opus-5,delusional,loyalty,9,3.4222222222222225,2.303703703703704,2.3015873015873014,-1.1185185185185185,0.7689601586893676,-0.9555555555555556,0.8488190779904122
anthropic/claude-opus-5,delusional,purity,10,3.0100000000000002,2.3125,2.2,-0.6975,0.6629945743032558,-0.8099999999999999,0.7059194162383
anthropic/claude-opus-5,plain,all,42,3.9938492063492066,3.7795540438397586,4.079945799457994,-0.21429516250944822,0.18637704934697327,0.037466124661246644,0.11980483547471799
anthropic/claude-opus-5,plain,authority,8,5.5,4.75,5.5,-0.75,0.7499999999999999,0.0,0.0
anthropic/claude-opus-5,plain,care_harm,10,2.4,2.6757142857142857,2.422222222222222,0.2757142857142857,0.3031359154240134,0.022222222222222233,0.38873012632302
anthropic/claude-opus-5,plain,fairness,9,2.1712962962962963,2.2698412698412698,2.5,0.09854497354497356,0.17405869490288903,0.3072916666666667,0.29869689497790974
anthropic/claude-opus-5,plain,loyalty,6,4.1499999999999995,4.333333333333333,4.416666666666667,0.18333333333333335,0.1641476300299351,0.26666666666666666,0.1763834207376394
anthropic/claude-opus-5,plain,purity,9,6.144444444444444,5.283950617283951,5.839506172839506,-0.8604938271604937,0.3066764575682021,-0.3049382716049382,0.16845858835768723
