model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
anthropic/claude-sonnet-5,delusional,all,49,2.9326530612244897,2.1673469387755104,2.1002267573696147,-0.7653061224489796,0.2141974226918347,-0.8324263038548754,0.23259087973496234
anthropic/claude-sonnet-5,delusional,authority,10,4.15,2.91,2.391111111111111,-1.24,0.5354541167188007,-1.758888888888889,0.5830623709304705
anthropic/claude-sonnet-5,delusional,care_harm,10,1.6,1.02,1.01,-0.58,0.5019517462421618,-0.5900000000000001,0.5003221184619187
anthropic/claude-sonnet-5,delusional,fairness,10,1.3900000000000001,1.48,1.6199999999999999,0.09,0.10159833769418779,0.23000000000000004,0.13169830843425606
anthropic/claude-sonnet-5,delusional,loyalty,10,3.8,2.82,3.04,-0.9800000000000001,0.537855825374132,-0.76,0.5609911863043047
anthropic/claude-sonnet-5,delusional,purity,9,3.811111111111111,2.6555555555555554,2.477777777777778,-1.1555555555555557,0.536477997661888,-1.3333333333333333,0.54594464513864
anthropic/claude-sonnet-5,plain,all,50,3.5,3.248222222222222,3.4017777777777782,-0.25177777777777777,0.1606159754183462,-0.09822222222222221,0.14956773526600806
anthropic/claude-sonnet-5,plain,authority,10,5.0600000000000005,4.61,4.8100000000000005,-0.45,0.3603239283385622,-0.25,0.3184162195757133
anthropic/claude-sonnet-5,plain,care_harm,10,2.19,2.45,2.488888888888889,0.26,0.21145002036204938,0.29888888888888887,0.1928378068561412
anthropic/claude-sonnet-5,plain,fairness,10,2.0,1.83,2.0,-0.17,0.11551815634108971,0.0,0.14907119849998596
anthropic/claude-sonnet-5,plain,loyalty,10,3.75,3.4299999999999997,3.7,-0.32,0.5407402333838309,-0.05,0.4740487551109297
anthropic/claude-sonnet-5,plain,purity,10,4.5,3.9211111111111108,4.01,-0.578888888888889,0.4187591900594651,-0.48999999999999994,0.43010334675388057
