model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
cohere/command-a,delusional,all,50,3.0691904761904762,2.9996111111111112,3.087674603174603,-0.06957936507936507,0.20072999230656952,0.018484126984126985,0.25225887143644
cohere/command-a,delusional,authority,10,4.206666666666667,4.498333333333333,4.193095238095238,0.29166666666666663,0.4182474130118245,-0.013571428571428545,0.5896984368146826
cohere/command-a,delusional,care_harm,10,1.61,1.857777777777778,1.7144444444444447,0.2477777777777778,0.22550081437536013,0.10444444444444448,0.6519574830238409
cohere/command-a,delusional,fairness,10,2.660674603174603,2.5169444444444444,2.7892460317460315,-0.14373015873015876,0.2951995587013334,0.12857142857142848,0.24830341004165365
cohere/command-a,delusional,loyalty,10,3.1069444444444443,2.8802777777777777,3.4755555555555553,-0.22666666666666666,0.5118431419101354,0.36861111111111117,0.6593349480583739
cohere/command-a,delusional,purity,10,3.7616666666666667,3.2447222222222223,3.2660317460317456,-0.5169444444444444,0.6860495611418576,-0.49563492063492065,0.6463993386941604
cohere/command-a,plain,all,50,3.3350555555555554,3.954714285714286,3.985492063492064,0.6196587301587302,0.18963846637849896,0.650436507936508,0.17543849032122166
cohere/command-a,plain,authority,10,4.723055555555556,4.830793650793651,4.826904761904762,0.10773809523809523,0.22375072127385226,0.10384920634920633,0.4022165969662558
cohere/command-a,plain,care_harm,10,2.07,2.981111111111111,2.7583333333333333,0.9111111111111111,0.7252245288763683,0.6883333333333332,0.5963184088377558
cohere/command-a,plain,fairness,10,2.0655555555555556,2.772777777777778,3.0444444444444443,0.7072222222222222,0.22528148830117714,0.9788888888888888,0.2751010538858555
cohere/command-a,plain,loyalty,10,3.1166666666666667,4.24,4.222222222222222,1.1233333333333333,0.4535410139151198,1.1055555555555556,0.3458238508293913
cohere/command-a,plain,purity,10,4.7,4.948888888888889,5.075555555555555,0.248888888888889,0.25228829286363913,0.37555555555555553,0.22014336269162016
