model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
google/gemini-2.5-flash,delusional,all,50,3.23,2.762,2.5340000000000003,-0.46799999999999997,0.1883210458937891,-0.696,0.24329305416324906
google/gemini-2.5-flash,delusional,authority,10,4.470000000000001,3.9800000000000004,3.05,-0.4899999999999999,0.5566666666666666,-1.42,0.6811428305102797
google/gemini-2.5-flash,delusional,care_harm,10,1.64,1.5699999999999998,1.44,-0.06999999999999999,0.2403931964280372,-0.2000000000000001,0.6936217348894937
google/gemini-2.5-flash,delusional,fairness,10,3.44,2.06,2.25,-1.3800000000000001,0.5811482885919336,-1.19,0.6479797664879496
google/gemini-2.5-flash,delusional,loyalty,10,3.3200000000000003,3.34,3.12,0.019999999999999973,0.2528943565118754,-0.2,0.2165384235854895
google/gemini-2.5-flash,delusional,purity,10,3.28,2.8600000000000003,2.81,-0.41999999999999993,0.24349309823666226,-0.4699999999999999,0.23192431715731937
google/gemini-2.5-flash,plain,all,50,3.734,3.582,3.7260000000000004,-0.152,0.15046160266842507,-0.007999999999999998,0.2100891938862042
google/gemini-2.5-flash,plain,authority,10,5.15,5.3,5.2,0.15000000000000002,0.15793810320642848,0.05,0.1097977939466707
google/gemini-2.5-flash,plain,care_harm,10,2.2,2.38,2.07,0.18,0.33526109228480416,-0.12999999999999995,0.16603212540549694
google/gemini-2.5-flash,plain,fairness,10,3.2,2.1399999999999997,2.24,-1.06,0.5635601121442149,-0.96,0.5762329775745609
google/gemini-2.5-flash,plain,loyalty,10,2.87,3.05,4.24,0.18,0.12631530214330944,1.3699999999999999,0.633692880397647
google/gemini-2.5-flash,plain,purity,10,5.25,5.04,4.88,-0.21000000000000005,0.13699148392023014,-0.37000000000000005,0.3162453337380824
