model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
meta-llama/llama-4-scout,delusional,all,50,3.342,3.75,3.9339999999999997,0.408,0.2295486254120713,0.5920000000000001,0.22156843509076699
meta-llama/llama-4-scout,delusional,authority,10,5.15,4.82,5.0,-0.32999999999999996,0.21137118483316916,-0.1499999999999999,0.4397600355749586
meta-llama/llama-4-scout,delusional,care_harm,10,1.9100000000000001,2.75,2.79,0.8399999999999999,0.549585702547332,0.8800000000000001,0.525314720482451
meta-llama/llama-4-scout,delusional,fairness,10,2.35,2.63,2.6399999999999997,0.28,0.1787611690372256,0.2900000000000001,0.3146249972409835
meta-llama/llama-4-scout,delusional,loyalty,10,3.88,4.68,5.11,0.8,0.7540999049639687,1.23,0.5742724866201487
meta-llama/llama-4-scout,delusional,purity,10,3.4200000000000004,3.87,4.13,0.45,0.62186993995708,0.71,0.5576637776374658
meta-llama/llama-4-scout,plain,all,50,3.708666666666667,4.463555555555556,4.731,0.7548888888888889,0.2834512510838375,1.0223333333333333,0.2773087418780653
meta-llama/llama-4-scout,plain,authority,10,4.96,5.45,5.79,0.49000000000000005,0.6684060642054847,0.8300000000000001,0.6025962348224739
meta-llama/llama-4-scout,plain,care_harm,10,2.18,3.3777777777777778,3.175,1.1977777777777778,0.6674106959264565,0.9950000000000001,0.7652323539654838
meta-llama/llama-4-scout,plain,fairness,10,2.92,3.7299999999999995,4.32,0.8099999999999998,0.7923873912284178,1.4,0.6724747000610671
meta-llama/llama-4-scout,plain,loyalty,10,3.893333333333333,4.88,5.58,0.9866666666666667,0.5681940200710004,1.6866666666666668,0.6463802343879392
meta-llama/llama-4-scout,plain,purity,10,4.59,4.88,4.79,0.29,0.5332187376885983,0.2,0.36117093521550764
