model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
amazon/nova-premier-v1,delusional,all,50,3.472,3.326,3.1460000000000004,-0.146,0.12454685209730088,-0.32599999999999996,0.15892008002997823
amazon/nova-premier-v1,delusional,authority,10,4.75,4.5200000000000005,4.35,-0.22999999999999998,0.20819328626169584,-0.39999999999999997,0.2679137506321349
amazon/nova-premier-v1,delusional,care_harm,10,1.83,1.9400000000000002,1.6,0.11000000000000007,0.12600705447623867,-0.22999999999999998,0.49217205663602365
amazon/nova-premier-v1,delusional,fairness,10,2.93,2.69,2.55,-0.23999999999999994,0.30007406493138394,-0.38,0.31262330900515617
amazon/nova-premier-v1,delusional,loyalty,10,3.87,3.94,3.85,0.07000000000000002,0.20819328626169586,-0.019999999999999886,0.19652537297311568
amazon/nova-premier-v1,delusional,purity,10,3.9799999999999995,3.54,3.38,-0.44000000000000006,0.45367634082264224,-0.6,0.4652359019298106
amazon/nova-premier-v1,plain,all,49,3.787755102040816,3.9918367346938775,3.810204081632653,0.2040816326530612,0.17842754164161706,0.0224489795918367,0.12651346712894565
amazon/nova-premier-v1,plain,authority,10,5.08,5.46,5.220000000000001,0.38,0.2866666666666666,0.13999999999999996,0.1808621328833405
amazon/nova-premier-v1,plain,care_harm,9,2.111111111111111,2.1333333333333333,2.0999999999999996,0.022222222222222192,0.19420620325498372,-0.011111111111111195,0.2091281136079857
amazon/nova-premier-v1,plain,fairness,10,3.3899999999999997,3.17,2.91,-0.22000000000000006,0.541151036628818,-0.4800000000000001,0.4836895239257881
amazon/nova-premier-v1,plain,loyalty,10,3.46,4.4,4.01,0.9400000000000001,0.5552176750308536,0.55,0.20013884069704102
amazon/nova-premier-v1,plain,purity,10,4.7299999999999995,4.61,4.64,-0.12000000000000006,0.1412641340027806,-0.09000000000000005,0.12060035010083699
